iter	Passed	Remaining
0	2	1418
1	5	1339
2	7	1325
3	10	1326
4	13	1333
5	16	1333
6	18	1316
7	21	1321
8	23	1302
9	26	1287
10	28	1267
11	31	1265
12	33	1268
13	36	1261
14	39	1263
15	41	1261
16	44	1255
17	46	1256
18	49	1250
19	51	1242
20	54	1243
21	57	1241
22	59	1242
23	62	1240
24	64	1234
25	67	1230
26	70	1227
27	72	1220
28	75	1218
29	77	1217
30	80	1213
31	83	1217
32	86	1217
33	88	1215
34	91	1214
35	94	1216
36	97	1214
37	99	1209
38	101	1202
39	106	1226
40	110	1241
41	114	1245
42	117	1251
43	120	1253
44	123	1251
45	126	1251
46	129	1251
47	132	1250
48	135	1248
49	138	1247
50	141	1244
51	144	1243
52	146	1237
53	149	1234
54	152	1233
55	154	1228
56	157	1224
57	160	1220
58	162	1215
59	165	1213
60	167	1208
61	170	1205
62	172	1199
63	175	1197
64	178	1193
65	181	1190
66	183	1187
67	186	1182
68	188	1180
69	192	1185
70	195	1180
71	198	1177
72	200	1173
73	203	1172
74	206	1170
75	209	1170
76	212	1166
77	214	1162
78	217	1161
79	220	1158
80	223	1155
81	226	1152
82	228	1149
83	231	1145
84	234	1142
85	236	1140
86	239	1137
87	242	1133
88	244	1129
89	247	1126
90	249	1122
91	252	1120
92	255	1117
93	258	1115
94	260	1111
95	263	1107
96	266	1105
97	268	1102
98	271	1098
99	274	1096
100	276	1092
101	278	1085
102	280	1082
103	283	1080
104	286	1077
105	289	1074
106	291	1071
107	294	1068
108	297	1065
109	299	1062
110	302	1059
111	304	1056
112	307	1053
113	310	1051
114	313	1047
115	315	1044
116	318	1041
117	320	1038
118	323	1036
119	326	1032
120	328	1029
121	331	1027
122	334	1025
123	337	1022
124	339	1019
125	342	1016
126	345	1014
127	347	1011
128	350	1008
129	353	1005
130	356	1003
131	358	1000
132	361	998
133	364	994
134	366	992
135	369	989
136	372	986
137	374	983
138	377	980
139	379	977
140	382	973
141	384	970
142	387	967
143	390	965
144	393	962
145	395	959
146	398	956
147	400	953
148	403	950
149	406	947
150	408	944
151	411	942
152	414	939
153	416	936
154	419	933
155	422	930
156	424	928
157	427	925
158	430	922
159	432	919
160	435	916
161	437	913
162	440	910
163	443	908
164	445	905
165	448	902
